PERMNO,HCOMNAM,HTSYMBOL,HNAICS
12113,A H P C HOLDINGS INC,GLOV,339113
12118,APOGEE TECHNOLOGY INC,ATA,334310
12140,GOODRICH CORP,GR,336414
12149,JUNIPER PHARMACEUTICALS INC,JNP,541710
12165,F M S FINANCIAL CORP,FMCO,522120
12166,REPUBLIC FIRST BANCORP INC,FRBK,522110
12169,DORAL FINANCIAL CORP,DRL,522292
12171,VASOMEDICAL INC,VASO,334517
12173,GENERAL COMMUNICATION INC,GNCMA,517110
12175,GREAT NORTHERN IRON ORE PPTYS,GNI,212210
12188,HEARUSA INC,EAR,446199
12189,HINGHAM INSTITUTION FOR SVGS MA,HIFS,522110
12190,T O R MINERALS INTL INC,TORM,325180
12209,LIFEWAY FOODS INC,LWAY,311511
12211,LINDSAY CORP,LNN,333111
12214,LOGIC DEVICES INC,LOGC,334413
12217,MEASUREMENT SPECIALTIES INC,MEAS,334519
12219,ISHARES TRUST,ECNS,525910
12226,M G P INGREDIENTS INC,MGPI,312140
12236,NOVEN PHARMACEUTICALS INC,NOVN,325412
12248,PROVIDENCE & WORCESTER RR CO,PWX,482111
12253,FRESH BRANDS INC,FRSH,447110
12266,PEREGRINE PHARMACEUTICALS INC,PPHM,322291
12269,TOMKINS PLC,TKS,336211
12281,WAINWRIGHT BANK & TRUST CO BOSTN,WAIN,522110
12287,ISHARES TRUST,EPHE,525910
12288,NUVEEN DIVERSIFIED COMMODITY FD,CFD,523130
12289,PIMCO E T F TRUST,CORP,525990
12290,PIMCO E T F TRUST,BABZ,525990
12291,RHINO RESOURCE PARTNERS L P,RNO,212111
12292,SPDR INDEX SHARES FUNDS,GNR,525990
12293,SOUFUN HOLDINGS LTD,SFUN,518210
12294,VANGUARD ADMIRAL FUNDS INC,VOOG,525910
12295,VANGUARD ADMIRAL FUNDS INC,VOOV,525910
12296,VANGUARD ADMIRAL FUNDS INC,VIOV,525910
12297,VANGUARD ADMIRAL FUNDS INC,VIOG,525910
12301,VANGUARD ADMIRAL FUNDS INC,VIOO,525910
12302,VANGUARD ADMIRAL FUNDS INC,IVOV,525910
12303,VANGUARD ADMIRAL FUNDS INC,IVOG,525910
12304,VANGUARD ADMIRAL FUNDS INC,IVOO,525910
12305,VANGUARD INDEX FUNDS,VOO,525990
12306,WISDOMTREE TRUST,CCX,525990
12307,AMYRIS INC,AMRS,325411
12308,CHARTER COMMUNICATIONS INC,CHTR,515210
12309,FULL CIRCLE CAPITAL CORP,FULL,522298
12310,CHINA H G S REAL ESTATE INC,HGSH,531311
12311,KEYUAN PETROCHEMICALS INC,KEYP,0
12312,SCIQUEST INC NEW,SQI,511210
12313,VANGUARD SCOTTSDALE FUNDS,VONE,525910
12314,VANGUARD SCOTTSDALE FUNDS,VONG,525910
12315,VANGUARD SCOTTSDALE FUNDS,VONV,525910
12316,VANGUARD SCOTTSDALE FUNDS,VTHR,525910
12317,VANGUARD SCOTTSDALE FUNDS,VTWG,525910
12318,VANGUARD SCOTTSDALE FUNDS,VTWO,525910
12321,VANGUARD SCOTTSDALE FUNDS,VTWV,525910
12322,ADVISORSHARES TRUST,GTAA,525990
12323,CAMPUS CREST COMMUNITIES INC,CCG,611710
12324,CHINA MING YANG WIND PWR GRP LTD,MY,333611
12325,DAQO NEW ENERGY CORP,DQ,334413
12326,ETFS PRECIOUS METALS BASKET TR,GLTR,525910
12329,ELLINGTON FINANCIAL L L C,EFC,523920
12330,EXAMWORKS GROUP INC,EXAM,621999
12331,GUGGENHEIM BLD AM BDS MGD DUR TR,GBAB,525990
12332,HUDBAY MINERALS INC,HBM,212231
12333,MARKET VECTORS E T F TRUST,REMX,525990
12334,MARKET VECTORS E T F TRUST,PEK,525990
12337,SHANGPHARMA CORP,SHP,541710
12338,SPROTT PHYSICAL SILVER TRUST,PSLV,525990
12339,TAL EDUCATION GROUP,XRS,611691
12340,TOWER INTERNATIONAL INC,TOWR,336370
12341,WESTERN ASSET HIGH YLD DEF OP FD,HYI,525990
12342,SEACUBE CONTAINER LEASING LTD,BOX,551112
12345,LYONDELLBASELL INDUSTRIES N V,LYB,325211
12346,LYONDELLBASELL INDUSTRIES N V,LYBB,325211
12347,AEGERION PHARMACEUTICALS INC,AEGR,325412
12348,BRAVO BRIO RESTAURANT GROUP INC,BBRG,333314
12349,BODY CENTRAL CORP,BODY,448150
12350,NET ELEMENT INC,NETE,511210
12352,CHINACACHE INTL HLDGS LTD,CCIH,518210
12353,LE GAGA HOLDINGS LTD,GAGA,111219
12354,GLOBAL EDUCATION & TECH GRP LTD,GEDU,611710
12355,HORIZON TECHNOLOGY FINANCE CORP,HRZN,525990
12356,KEYW HOLDING CORP,KEYW,541512
12357,MECOX LANE LTD,MCOX,454111
12358,N F ENERGY SAVING CORP,NFEC,517410
12359,NETSPEND HOLDINGS INC,NTSP,522210
12360,PACIFIC BIOSCIENCES CALIF INC,PACB,541710
12362,STANDARD FINANCIAL CORP MD,STND,522110
12363,VERA BRADLEY INC,VRA,316992
12364,AEROFLEX HOLDING CORP,ARX,334413
12365,BITAUTO HOLDINGS LTD,BITA,454111
12366,BOOZ ALLEN HAMILTON HOLDING CORP,BAH,541611
12367,CHINA XINIYA FASHION LTD,XNY,315220
12368,COHEN & STEERS SLT PFD & INC FD,PSF,525990
12369,GENERAL MOTORS CO,GM,336111
12370,GLOBAL X FUNDS,GLDX,525990
12371,GLOBAL X FUNDS,NORW,525990
12372,GLOBAL X FUNDS,URA,525990
12373,HOWARD HUGHES CORP,HHC,531120
12374,INPHI CORP,IPHI,334413
12375,ISHARES TRUST,ERUS,525910
12376,KAYNE ANDERSON MDSTM ENGY FD INC,KMF,525990
12377,NOAH HOLDINGS LTD,NOAH,523920
12379,NUVEEN BUILD AMERICA BOND OPP FD,NBD,525990
12380,PARK CITY GROUP INC,PCYG,511210
12381,PIMCO E T F TRUST,TRSY,525990
12382,PROMOTORA DE INFORMACIONES S A,PRIS,511110
12383,PROMOTORA DE INFORMACIONES S A,PRISB,511110
12384,SEMGROUP CORP,SEMG,486110
12385,SUMITOMO MITSUI FINANCIAL GP INC,SMFG,522110
12388,SYSWIN INC,SYSW,531210
12389,TRIANGLE PETROLEUM CORP,TPLM,213112
12390,XUEDA EDUCATION GROUP,XUE,611691
12391,COSTAMARE INC,CMRE,483111
12392,ANACOR PHARMACEUTICALS INC,ANAC,325411
12396,SINOTECH ENERGY LTD,CTE,541330
12397,GLOBUS MARITIME LTD,GLBS,483111
12398,COMPLETE GENOMICS INC,GNOM,541710
12399,IMRIS INC,IMRS,334510
12400,L P L FINANCIAL HOLDINGS INC,LPLA,541512
12401,LIZHAN ENVIRONMENTAL CORP,LZEN,551112
12402,PRIMO WATER CORP,PRMW,312112
12403,R D A MICROELECTRONICS INC,RDA,334413
12405,SODASTREAM INTERNATIONAL LTD,SODA,311930
12406,S P BANCORP INC,SPBC,551111
12409,SUN HEALTHCARE GROUP INC NEW,SUNH,623110
12410,FRESH MARKET INC,TFM,445110
12411,TEKMIRA PHARMACEUTICALS CORP,TKMR,325412
12412,VANGUARD INTL EQUITY INDEX FUNDS,VNQI,525990
12413,ZOGENIX INC,ZGNX,541710
12431,INGERSOLL RAND PLC,IR,333413
12437,RESOLUTE FOREST PRODUCTS INC,RFP,113310
12438,ADVISORSHARES TRUST,HYLD,525990
12439,AVALON RARE METALS INC,AVL,212299
12440,CTPARTNERS EXECUTIVE SEARCH INC,CTP,541612
12441,DIREXION SHARES E T F TRUST,FLYX,525990
12442,DIREXION SHARES E T F TRUST,DUST,525990
12443,DIREXION SHARES E T F TRUST,NUGT,525990
12444,E COMMERCE CHINA DANGDANG INC,DANG,454111
12445,E T F S WHITE METALS BASKET TR,WITE,525990
12446,F X C M INC,FXCM,523130
12447,FIRST MAJESTIC SILVER CORP,AG,212222
12448,FIRST REPUBLIC BANK S F NEW,FRC,522110
12449,FLEETCOR TECHNOLOGIES INC,FLT,522320
12450,FORTEGRA FINANCIAL CORP,FRF,524210
12451,GAIN CAPITAL HOLDINGS INC,GCAP,523120
12452,INFUSYSTEM HOLDINGS INC,INFU,339112
12453,ISHARES TRUST,STIP,525910
12454,ISOFTSTONE HOLDINGS LTD,ISS,511210
12455,LENTUO INTERNATIONAL INC,LAS,441110
12456,MOTOROLA MOBILITY HOLDINGS INC,MMI,334220
12457,POWERSHARES E T F TRUST II,KBWP,525990
12458,RYERSON INC,RYI,331221
12460,POWERSHARES E T F TRUST II,KBWX,525990
12461,POWERSHARES E T F TRUST II,KBWD,525990
12462,POWERSHARES E T F TRUST II,KBWY,525990
12463,PROSHARES TRUST,RALS,525990
12464,Q R ENERGY L P,QRE,211111
12465,RYDEX E T F TRUST,EWEM,525990
12468,RYDEX E T F TRUST,EWEF,525990
12469,RYDEX E T F TRUST,EWRM,525990
12470,RYDEX E T F TRUST,EWRS,525990
12471,RYDEX E T F TRUST,EWRI,525990
12472,STONE HARBOR EMERG MKTS INC FD,EDF,525990
12473,SWIFT TRANSPORTATION CO,SWFT,484121
12476,TARGA RESOURCES CORP,TRGP,486210
